iter	MAE	RMSE
704	0.5153042964	0.7003043111
705	0.5151770266	0.7001141111
706	0.5149847354	0.6999212762
707	0.5149291571	0.699823583
708	0.5148178343	0.6997251946
709	0.514794324	0.6996884314
710	0.514684872	0.699558028
711	0.5145462744	0.6993965002
712	0.5144946829	0.6993343293
713	0.5144557802	0.6992823961
714	0.5143689483	0.6991759323
715	0.5143073503	0.6990941374
716	0.514207656	0.6989696877
717	0.5141303229	0.698890973
718	0.5141305115	0.6988851632
719	0.5140671528	0.6988515064
720	0.5139781378	0.6987182122
721	0.5138897204	0.6986282328
722	0.5138778174	0.6985729229
723	0.5138214472	0.6984913527
724	0.5137221606	0.6983918823
725	0.5136013404	0.6982547698
726	0.5135159458	0.6981373889
727	0.5133565824	0.6979645189
728	0.5132185438	0.697844005
729	0.5131935769	0.6978054935
730	0.513058839	0.697617857
731	0.5129684866	0.6975106699
732	0.5128129493	0.697267516
733	0.5125535086	0.6969124613
734	0.5123794511	0.6966983737
735	0.5123304243	0.6966073656
736	0.5121998876	0.6964420121
737	0.5121236485	0.6963012721
738	0.5119920373	0.6961309026
739	0.5118673184	0.6959995341
740	0.5118560758	0.6959145062
741	0.5118252306	0.6958746498
742	0.5117802459	0.6958015871
743	0.511705537	0.6956713996
744	0.511649097	0.6955419492
745	0.5115569289	0.695422022
746	0.5114354015	0.6952684804
747	0.5114447069	0.695259104
748	0.5113036836	0.6951209397
749	0.5112431631	0.6950731323
750	0.511146848	0.6949646367
751	0.5110835554	0.6948634259
752	0.5110556778	0.6948011111
753	0.5109601351	0.6946299964
754	0.5109437746	0.6946100181
755	0.5108982706	0.694527264
756	0.5108803543	0.6945055213
757	0.51072249	0.6943269482
758	0.5106162132	0.6942020095
759	0.5105537642	0.6941410545
760	0.5104737326	0.6940791557
761	0.5104657475	0.6940637625
762	0.5103759246	0.6939801567
763	0.5102431946	0.6938262314
764	0.5101631605	0.6937333426
765	0.5101011661	0.6936345633
766	0.5100844732	0.6936023732
767	0.5100206512	0.6935339149
768	0.5100043125	0.6935184349
769	0.5099045379	0.693336047
770	0.5098341756	0.6932243957
771	0.5097102337	0.693052361
772	0.5097091525	0.693044796
773	0.509657532	0.6929745913
774	0.5095783043	0.6928554837
775	0.509440831	0.6927263556
776	0.5092994525	0.6926019963
777	0.509222964	0.6925153974
778	0.5091547295	0.6924470987
779	0.5091068812	0.6923495858
780	0.5090290217	0.6922479715
781	0.5088775488	0.6920138713
782	0.5088688619	0.6919813686
783	0.5087578972	0.6918601999
784	0.5086834672	0.6917485186
785	0.5086839908	0.6917484856
786	0.5085531107	0.6916226485
787	0.508419534	0.6914310946
788	0.5083357194	0.6913369595
789	0.5081830125	0.6911511118
790	0.5080538587	0.6909909434
791	0.5079797888	0.6908843719
792	0.5079207322	0.6907870631
793	0.5078106811	0.6906650827
794	0.5077253932	0.6905716052
795	0.5076297902	0.6904483756
796	0.5075366914	0.6903242656
797	0.5074739976	0.6901838689
798	0.507314064	0.6899821029
799	0.5072856049	0.68993566
800	0.5070518631	0.68965526
801	0.5070524512	0.6896552281
802	0.506999766	0.6895581486
803	0.5069174167	0.6894072662
804	0.506867122	0.6893220846
805	0.5067451022	0.6891572536
806	0.5067345591	0.6891473397
807	0.5066543305	0.688949942
808	0.5065512764	0.68878007
809	0.506534623	0.6887391917
810	0.5064533311	0.6886643478
811	0.5063849072	0.6884653583
812	0.5063581266	0.6883695156
813	0.5062785327	0.6883100381
814	0.506212864	0.6882289758
815	0.5060626782	0.6880653292
816	0.5060583358	0.6880351142
817	0.5060075137	0.6879895303
818	0.5059809155	0.6879587694
819	0.505901704	0.6878967471
820	0.5058576207	0.6878339388
821	0.5058108225	0.6877823513
822	0.5057262696	0.6876811303
823	0.5056180536	0.6875559361
824	0.5055608105	0.6874799892
825	0.5054655649	0.687332707
826	0.5053808324	0.6872058075
827	0.5053210121	0.6871507865
828	0.5052474743	0.6870560948
829	0.5051542716	0.6869707036
830	0.5050927766	0.6868696891
831	0.5050810187	0.6868372469
832	0.5050723349	0.6868082448
833	0.5050560908	0.6867851441
834	0.5050249726	0.6867434306
835	0.5049689955	0.6866636883
836	0.5049319684	0.6865875204
837	0.5048618587	0.6865266519
838	0.504821762	0.6864552371
839	0.5048158496	0.6864443081
840	0.5047612676	0.6863973571
841	0.5047538198	0.6863148986
842	0.5047253986	0.6862592965
843	0.5046936594	0.6862229335
844	0.5046822175	0.6861952864
845	0.5046163085	0.6860820204
846	0.5045462651	0.6860026238
847	0.5044284443	0.6857639636
848	0.5043187064	0.6856518841
849	0.5042810658	0.6856023844
850	0.5041601248	0.6853678538
851	0.5041404424	0.6853173098
852	0.5040627248	0.6852373324
853	0.5040539655	0.6851951234
854	0.5039900006	0.6851412447
855	0.5038850017	0.6850174274
856	0.503824113	0.6849425741
857	0.5037777408	0.6848881617
858	0.5037475185	0.6848484101
859	0.5036347478	0.6847147268
860	0.5035711404	0.684591537
861	0.503442803	0.6844469578
862	0.5033396195	0.684271492
863	0.5032931088	0.6841993356
864	0.5032251875	0.6841007656
865	0.5032200122	0.6840658548
